year, month, alpha
2020, 1, 0.70
2020, 2, 0.70
2020, 3, 0.70
2020, 4, 0.56
2020, 5, 0.12
2020, 6, 0.48
2020, 7, 0.76
2020, 8, 0.48
2020, 9, 0.20
2020, 10, 0.44
2020, 11, 0.62
2020, 12, 0.56
2021, 1, 0.50
2021, 2, 0.46
2021, 3, 0.40
2021, 4, 0.36
2021, 5, 0.34
2021, 6, 0.32
2021, 7, 0.40
2021, 8, 0.36
2021, 9, 0.36
2021, 10, 0.40
2021, 11, 0.50
2021, 12, 0.54
2022, 1, 0.50
2022, 2, 0.46
2022, 3, 0.40
2022, 4, 0.36
2022, 5, 0.34
2022, 6, 0.32
2022, 7, 0.40
2022, 8, 0.36
2022, 9, 0.36
2022, 10, 0.40
2022, 11, 0.50
2022, 12, 0.54
2023, 1, 0.50
2023, 2, 0.46
2023, 3, 0.40
2023, 4, 0.36
2023, 5, 0.34
2023, 6, 0.32
2023, 7, 0.40
2023, 8, 0.36
2023, 9, 0.36
2023, 10, 0.40
2023, 11, 0.50
2023, 12, 0.54
