year, month, alpha
2020, 1,0.2884615384615385
2020, 2, 0.2884615384615385
2020, 3, 0.2884615384615385
2020, 4, 0.2884615384615385
2020, 5, 0.2884615384615385
2020, 6, 0.2884615384615385
2020, 7, 0.2884615384615385
2020, 8, 0.2884615384615385
2020, 9, 0.2884615384615385
2020, 10, 0.2884615384615385
2020, 11, 0.2884615384615385
2020, 12, 0.2884615384615385
2021, 1, 0.2884615384615385
2021, 2, 0.2884615384615385
2021, 3, 0.2884615384615385
2021, 4, 0.2884615384615385
2021, 5, 0.2884615384615385
2021, 6, 0.2884615384615385
2021, 7, 0.2884615384615385
2021, 8, 0.2884615384615385
2021, 9, 0.2884615384615385
2021, 10, 0.2884615384615385
2021, 11, 0.2884615384615385
2021, 12, 0.2884615384615385
2022, 1, 0.2884615384615385
2022, 2, 0.2884615384615385
2022, 3, 0.2884615384615385
2022, 4, 0.2884615384615385
2022, 5, 0.2884615384615385
2022, 6, 0.2884615384615385
2022, 7, 0.2884615384615385
2022, 8, 0.2884615384615385
2022, 9, 0.2884615384615385
2022, 10, 0.2884615384615385
2022, 11, 0.2884615384615385
2022, 12, 0.2884615384615385
2023, 1, 0.2884615384615385
2023, 2, 0.2884615384615385
2023, 3, 0.2884615384615385
2023, 4, 0.2884615384615385
2023, 5, 0.2884615384615385
2023, 6, 0.2884615384615385
2023, 7, 0.2884615384615385
2023, 8, 0.2884615384615385
2023, 9, 0.2884615384615385
2023, 10, 0.2884615384615385
2023, 11, 0.2884615384615385
2023, 12, 0.2884615384615385
